C1 17.43 45.01  90 100nF CAPC1005X60
C2 24.51 45.41  90 100nF CAPC1005X60
C3 15.45 45.40  90 100nF CAPC1005X60
C4 27.36 45.43  90 100nF CAPC1005X60
C5 28.04 33.78 180 100nF CAPC1005X60
C7 21.89 33.12 180 100nF CAPC1005X60
C8 15.32 33.71 180 100nF CAPC1005X60
C44 50.32 48.23 180 10uF CAPC1005X60
C45 50.30 47.24 180 100nF CAPC1005X60
C46 54.86 15.90   0 18pF CAPC1005X60
C47 38.56 39.24  90 18pF CAPC1005X60
C48 54.89 14.61   0 18pF CAPC1005X60
C60 43.71 39.55 270 18pF CAPC1005X60
C84 17.35  4.17  90 1uF CAPC1608X85
C98 56.46 12.45   0 100nF CAPC1608X85
C100 49.05  9.96 180 1uF CAPC1005X60
C101 27.36  7.39 180 1uF CAPC1005X60
C102 47.55 41.91 180 1uF CAPC1005X60
C103 20.07 33.88  90 100nF CAPC1005X60
C104 20.36 45.44 270 100nF CAPC1005X60
C105 15.32  4.19  90 1uF CAPC1608X85
C106 57.30  6.55 270 100nF CAPC1608X85
C107 46.71 48.31 180 22uF CAPC1608X85
C112 59.49 32.51  90 10nF CAPC1005X60
F1  3.68 29.99 180  R1206
J2 67.01 15.42 180 USB_A_SMT_FEMALE USB-A-S-SILK-FEMALE
J10  8.42 18.68 270 10029449-001RLF AMPHENOL_10029449-001RLF
LED1 29.47 47.32 270  CHIP-LED0603
LED2 26.00 47.29  90  CHIP-LED0603
Q2 51.77 15.24   0 25MHz NX3225
R4 47.57 42.91   0 100k RESC1005X40
R5 54.51 30.23 180 33R RESC1005X40
R6 52.45 17.53 180 0R RESC1005X40
R7 61.47  4.90   0 0R RESC1005X40
R8 50.16 17.53   0 1M RESC1005X40
R9 25.65 10.34   0 10k RESC1005X40
R10 25.63 11.61   0 10k RESC1005X40
R19 25.45 17.18   0 10k RESC1005X40
R20 25.45 18.31   0 10k RESC1005X40
R21 25.45 19.32   0 10k RESC1005X40
R22 25.45 20.45   0 10k RESC1005X40
R23 25.45 21.46   0 10k RESC1005X40
R24 25.45 22.56   0 10k RESC1005X40
R25 27.89 22.50   0 10k RESC1005X40
R26 27.89 21.44   0 10k RESC1005X40
R27 27.89 20.37   0 10k RESC1005X40
R28 27.89 19.33   0 10k RESC1005X40
R29 27.89 18.24   0 10k RESC1005X40
R30 27.89 17.12   0 10k RESC1005X40
R31 23.19 45.40  90 10K RESC1005X40
R32 21.65 45.44  90 10K RESC1005X40
R33 18.75 45.05 270 10K RESC1005X40
R34 25.79 45.37  90 10K RESC1005X40
R35 54.48 26.52   0 33R RESC1005X40
R36 54.48 27.81   0 33R RESC1005X40
R37 72.26 25.60   0 270R RESC1005X40
R39 28.27 11.68   0 10k RESC1005X40
R40 28.14 10.34   0 10k RESC1005X40
R41 59.54 34.09 180 49.9R RESC1005X40
R42 59.60 35.48 180 49.9R RESC1005X40
R43 59.63 36.77 180 49.9R RESC1005X40
R44 59.63 38.02 180 49.9R RESC1005X40
R45 74.40 25.61   0 10R RESC1005X40
R46 64.41 24.98 180 12.1k RESC1005X40
R49 13.46 26.09  90 10k RESC1005X40
R50 12.22 26.09  90 10k RESC1005X40
R51 10.95 26.09  90 10k RESC1005X40
R52 72.24 44.27   0 4.7K RESC1005X40
R53 39.86 37.21   0 10k RESC1005X40
R54 65.14  9.83 270 10K RESC1005X40
R55 66.47  6.40   0 10K RESC1005X40
R56 12.19 12.04 270 10k RESC1005X40
R57 14.73 26.09  90 0R RESC1005X40
R58 54.48 22.73   0 10k RESC1005X40
R60 54.48 24.00   0 10R RESC1005X40
R61 57.99 32.56  90 10k RESC1005X40
R63 56.74 32.54  90 10k RESC1005X40
R64 54.48 21.41   0 33R RESC1005X40
R65 54.48 20.12   0 33R RESC1005X40
R66 55.50 32.54  90 10k RESC1005X40
R67 31.80 45.39  90 4.7k RESC1608X60
R69 54.48 29.03   0 33R RESC1005X40
R70 54.48 25.22   0 10R RESC1005X40
R71 19.10  4.17 270 0R RESC1608X60
R72 58.55 27.15  90 10k RESC1005X40
R73 57.18 27.08  90 10k RESC1005X40
R74 20.85  4.17 270 0R RESC1608X60
R76 61.42 29.16 270 33R RESC1005X40
R77 29.41 45.42  90 10k RESC1005X40
R78 22.91 47.27   0 4.7k RESC1608X60
R79 26.47  4.42   0 10k RESC1005X40
R80 26.47  5.71   0 10k RESC1005X40
R81 26.52  3.12   0 10k RESC1005X40
R82 26.52  1.83   0 10k RESC1005X40
R83 48.95 12.32  90 10k RESC1005X40
R84 50.27 12.32  90 10k RESC1005X40
R85 51.61 12.32  90 10k RESC1005X40
